,Data_Value,Gender
1103,362.5,Female
1104,358.3,Female
1105,448.2,Female
1106,721.6,Female
1107,378.8,Female
1108,0.0,Overall
1109,241.2,Overall
1110,0.0,Overall
1111,169.2,Overall
1112,165.4,Overall
1113,0.0,Overall
1114,0.0,Overall
1115,0.0,Overall
1116,0.0,Overall
1117,0.0,Overall
1118,171.0,Overall
1119,0.0,Overall
1120,0.0,Overall
1121,0.0,Overall
1122,0.0,Overall
1123,0.0,Overall
1124,0.0,Overall
1125,0.0,Overall
1126,0.0,Overall
1127,0.0,Overall
1128,0.0,Overall
1129,0.0,Overall
1130,0.0,Overall
1131,0.0,Overall
1132,185.5,Overall
1133,0.0,Overall
1134,164.1,Overall
1135,176.3,Overall
1136,0.0,Overall
1137,0.0,Overall
1138,0.0,Overall
1139,0.0,Overall
1140,0.0,Overall
1141,0.0,Overall
1142,0.0,Overall
1143,226.8,Overall
1144,168.6,Overall
1145,0.0,Overall
1146,0.0,Overall
1147,0.0,Overall
1148,45.9,Overall
1149,135.7,Overall
1150,0.0,Overall
1151,0.0,Overall
1152,128.4,Overall
1153,0.0,Overall
1154,0.0,Overall
1155,158.1,Overall
1156,130.8,Overall
1157,0.0,Overall
1158,151.2,Overall
1159,135.4,Overall
1160,0.0,Overall
1161,0.0,Overall
1162,0.0,Overall
1163,0.0,Overall
1164,257.6,Overall
1165,174.8,Overall
1166,173.0,Overall
1167,0.0,Overall
1168,162.3,Overall
1169,0.0,Overall
1170,138.5,Overall
1171,157.5,Overall
1172,173.6,Overall
1173,0.0,Overall
1174,0.0,Overall
1175,0.0,Male
1176,291.4,Male
1177,0.0,Male
1178,179.1,Male
1179,219.4,Male
1180,0.0,Male
1181,0.0,Male
1182,0.0,Male
1183,0.0,Male
1184,0.0,Male
1185,0.0,Male
1186,0.0,Male
1187,0.0,Male
1188,0.0,Male
1189,0.0,Male
1190,0.0,Male
1191,0.0,Male
1192,0.0,Male
1193,0.0,Male
1194,0.0,Male
1195,0.0,Male
1196,0.0,Male
1197,0.0,Male
1198,0.0,Male
1199,0.0,Male
1200,0.0,Male
1201,232.7,Male
1202,0.0,Male
1203,0.0,Male
1204,0.0,Male
1205,0.0,Male
1206,0.0,Male
1207,0.0,Male
1208,0.0,Male
1209,0.0,Male
1210,266.3,Male
1211,211.3,Male
1212,0.0,Male
1213,0.0,Male
1214,0.0,Male
1215,0.0,Male
1216,0.0,Male
1217,0.0,Male
1218,0.0,Male
1219,182.0,Male
1220,0.0,Male
1221,0.0,Male
1222,245.0,Male
1223,166.4,Male
1224,0.0,Male
1225,0.0,Male
1226,0.0,Male
1227,0.0,Male
1228,0.0,Male
1229,0.0,Male
1230,0.0,Male
1231,0.0,Male
1232,178.7,Male
1233,149.2,Male
1234,0.0,Male
1235,0.0,Male
1236,0.0,Male
1237,117.0,Male
1238,170.2,Male
1239,0.0,Male
1240,0.0,Male
1241,0.0,Male
1242,0.0,Female
1243,0.0,Female
1244,0.0,Female
1245,131.6,Female
1246,0.0,Female
1247,0.0,Female
1248,0.0,Female
1249,0.0,Female
1250,0.0,Female
1251,0.0,Female
1252,0.0,Female
1253,0.0,Female
1254,0.0,Female
1255,0.0,Female
1256,0.0,Female
1257,0.0,Female
1258,0.0,Female
1259,0.0,Female
1260,0.0,Female
1261,0.0,Female
1262,0.0,Female
1263,0.0,Female
1264,0.0,Female
1265,0.0,Female
1266,0.0,Female
1267,0.0,Female
1268,116.3,Female
1269,0.0,Female
1270,0.0,Female
1271,0.0,Female
1272,0.0,Female
1273,0.0,Female
1274,0.0,Female
1275,0.0,Female
1276,0.0,Female
1277,0.0,Female
1278,161.7,Female
1279,0.0,Female
1280,0.0,Female
1281,0.0,Female
1282,0.0,Female
1283,0.0,Female
1284,0.0,Female
1285,0.0,Female
1286,71.9,Female
1287,0.0,Female
1288,0.0,Female
1289,0.0,Female
1290,133.8,Female
1291,0.0,Female
1292,0.0,Female
1293,0.0,Female
1294,0.0,Female
1295,0.0,Female
1296,0.0,Female
1297,0.0,Female
1298,0.0,Female
1299,172.8,Female
1300,171.3,Female
1301,0.0,Female
1302,0.0,Female
1303,0.0,Female
1304,0.0,Female
1305,0.0,Female
1306,0.0,Female
1307,0.0,Female
1308,0.0,Female
1309,0.0,Overall
1310,98.4,Overall
1311,0.0,Overall
1312,0.0,Overall
1313,0.0,Overall
1314,0.0,Overall
1315,0.0,Overall
1316,0.0,Overall
1317,0.0,Overall
1318,0.0,Overall
1319,0.0,Overall
1320,0.0,Overall
1321,0.0,Overall
1322,0.0,Overall
1323,0.0,Overall
