,Title,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Production,Website
158,Sunrise,NOT RATED,4-Nov-27,94 min,"Drama, Romance",F.W. Murnau,"Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles)","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,N/A,USA,Won 3 Oscars. Another 2 wins & 2 nominations.,8.3/10,N/A,8.3,"32,667",tt0018455,N/A,Fox Films,N/A
159,Dial M for Murder,PG,29-May-54,105 min,"Crime, Film-Noir, Thriller",Alfred Hitchcock,"Frederick Knott (screen play), Frederick Knott (adapted from his play)","Ray Milland, Grace Kelly, Robert Cummings, John Williams","An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.",English,USA,Nominated for 1 BAFTA Film Award. Another 3 wins & 2 nominations.,8.2/10,N/A,8.2,"116,207",tt0046912,N/A,Warner Bros. Pictures,N/A
160,Gran Torino,R,9-Jan-09,116 min,Drama,Clint Eastwood,"Nick Schenk (screenplay), Dave Johannson (story), Nick Schenk (story)","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","English, Hmong","Germany, USA",Nominated for 1 Golden Globe. Another 20 wins & 17 nominations.,8.2/10,72,8.2,"598,907",tt1205489,"$148,055,047 ",Warner Bros. Pictures/Village Roadshow,http://www.thegrantorino.com/
161,The Deer Hunter,R,23-Feb-79,183 min,"Drama, War",Michael Cimino,"Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)","Robert De Niro, John Cazale, John Savage, Christopher Walken",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"English, Russian, Vietnamese, French","USA, UK",Won 5 Oscars. Another 17 wins & 26 nominations.,8.2/10,81,8.2,"249,067",tt0077416,N/A,Universal Pictures,N/A
162,Hacksaw Ridge,R,4-Nov-16,139 min,"Biography, Drama, History",Mel Gibson,"Robert Schenkkan (screenplay), Andrew Knight (screenplay)","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","English, Japanese","Australia, USA",Won 2 Oscars. Another 37 wins & 95 nominations.,8.2/10,71,8.2,"221,901",tt2119532,"$67,115,062 ",Summit Entertainment,http://www.hacksawridge.movie/
163,Gone with the Wind,G,17-Jan-40,238 min,"Drama, History, Romance","Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell (story of the old south ""Gone with the Wind""), Sidney Howard (screenplay)","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,English,USA,Won 8 Oscars. Another 10 wins & 9 nominations.,8.2/10,97,8.2,"230,951",tt0031381,N/A,Loew's Inc.,http://warnervideo.com/gonewiththewind/
164,Fargo,R,5-Apr-96,98 min,"Crime, Drama, Thriller","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,English,"USA, UK",Won 2 Oscars. Another 79 wins & 59 nominations.,8.1/10,85,8.1,"490,860",tt0116282,N/A,MGM,http://www.mgm.com/title_title.do?title_star=FARGO
165,The Big Lebowski,R,6-Mar-98,117 min,"Comedy, Crime","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","English, German, Hebrew, Spanish","USA, UK",4 wins & 17 nominations.,8.2/10,69,8.2,"580,796",tt0118715,N/A,Gramercy Pictures,N/A
166,The Sixth Sense,PG-13,6-Aug-99,107 min,"Drama, Mystery, Thriller",M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.,"English, Latin, Spanish",USA,Nominated for 6 Oscars. Another 32 wins & 47 nominations.,8.1/10,64,8.1,"754,842",tt0167404,N/A,Hollywood/Buena Vista,http://movies.go.com/moviesdynamic/movies/movie?id=505420
167,The Thing,R,25-Jun-82,109 min,"Horror, Mystery, Sci-Fi",John Carpenter,"Bill Lancaster (screenplay), John W. Campbell Jr. (story)","Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon",A research facility in Antarctica comes across an alien force that can become anything it touches with 100% accuracy. The members must now find out who's human and who's not before it's too late.,"English, Norwegian",USA,3 nominations.,8.2/10,57,8.2,"281,843",tt0084787,N/A,Universal Pictures,http://www.theofficialjohncarpenter.com/pages/themovies/th/th.html
168,Finding Nemo,G,30-May-03,100 min,"Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich","Andrew Stanton (original story by), Andrew Stanton (screenplay), Bob Peterson (screenplay), David Reynolds (screenplay)","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",English,USA,Won 1 Oscar. Another 49 wins & 64 nominations.,8.1/10,90,8.1,"756,517",tt0266543,"$380,529,370 ",Walt Disney Pictures,http://disney.go.com/disneyvideos/animatedfilms/findingnemo/index2.html
169,Tokyo Story,NOT RATED,13-Mar-72,136 min,Drama,Yasujirô Ozu,"Kôgo Noda (scenario), Yasujirô Ozu (scenario)","Chishû Ryû, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura",An old couple visit their children and grandchildren in the city; but the children have little time for them.,"Japanese, English",Japan,3 wins.,8.2/10,N/A,8.2,"31,364",tt0046438,N/A,BFI Production,N/A
170,No Country for Old Men,R,21-Nov-07,122 min,"Crime, Drama, Thriller","Ethan Coen, Joel Coen","Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"English, Spanish",USA,Won 4 Oscars. Another 156 wins & 132 nominations.,8.1/10,91,8.1,"666,081",tt0477348,"$74,223,625 ",Miramax Films,http://www.nocountryforoldmen-themovie.com
171,Rang De Basanti,NOT RATED,26-Jan-06,157 min,"Comedy, Drama, History",Rakeysh Omprakash Mehra,"Renzil D'Silva (screenplay), Prasoon Joshi (dialogue), Rakeysh Omprakash Mehra (screenplay), Kamlesh Pandey (story)","Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor","This story is about six friends who help an English filmmaker create a documentary about Indian freedom struggle. During filming, this group of friends learn about those before them and the importance of fighting for their rights.","Hindi, Panjabi, English",India,Nominated for 1 BAFTA Film Award. Another 17 wins & 19 nominations.,8.3/10,N/A,8.3,"81,768",tt0405508,N/A,N/A,N/A
172,The Passion of Joan of Arc,NOT RATED,25-Oct-28,114 min,"Biography, Drama, History",Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.",French,France,2 wins & 1 nomination.,8.3/10,N/A,8.3,"29,440",tt0019254,N/A,Criterion Collection,N/A
173,Cool Hand Luke,PG,1-Nov-67,126 min,"Crime, Drama",Stuart Rosenberg,"Donn Pearce (screenplay), Frank Pierson (screenplay), Donn Pearce (novel)","Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",A man refuses to conform to life in a rural prison.,English,USA,Won 1 Oscar. Another 3 wins & 9 nominations.,8.2/10,N/A,8.2,"128,345",tt0061512,N/A,Warner Bros.,N/A
174,Rebecca,APPROVED,12-Apr-40,130 min,"Drama, Mystery, Romance",Alfred Hitchcock,"Daphne Du Maurier (celebrated novel), Robert E. Sherwood (screen play), Joan Harrison (screen play), Philip MacDonald (adaptation), Michael Hogan (adaptation)","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",A self-conscious bride is tormented by the memory of her husband's dead first wife.,"English, French",USA,Won 2 Oscars. Another 4 wins & 10 nominations.,8.2/10,N/A,8.2,"94,586",tt0032976,N/A,United Artists,N/A
175,A Wednesday,NOT RATED,5-Sep-08,104 min,"Crime, Drama, Mystery",Neeraj Pandey,"Neeraj Pandey (story), Neeraj Pandey (script)","Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,"Hindi, English",India,7 wins & 20 nominations.,8.3/10,N/A,8.3,"52,217",tt1280558,N/A,UTV Communications,N/A
176,There Will Be Blood,R,25-Jan-08,158 min,"Drama, History",Paul Thomas Anderson,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","English, American Sign Language",USA,Won 2 Oscars. Another 106 wins & 135 nominations.,8.1/10,92,8.1,"402,281",tt0469494,"$40,133,435 ",Paramount Vantage,http://www.therewillbeblood.com
177,How to Train Your Dragon,PG,26-Mar-10,98 min,"Animation, Action, Adventure","Dean DeBlois, Chris Sanders","William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",English,USA,Nominated for 2 Oscars. Another 26 wins & 61 nominations.,8.1/10,74,8.1,"528,657",tt0892769,"$216,900,000 ",Paramount/DWA,http://www.HowToTrainYourDragon.com/
178,Kill Bill: Vol. 1,R,10-Oct-03,111 min,"Action, Crime, Thriller",Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah",The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,"English, Japanese, French",USA,Nominated for 1 Golden Globe. Another 27 wins & 99 nominations.,8.1/10,69,8.1,"791,579",tt0266697,N/A,Miramax Films,http://www.kill-bill.com/
179,Come and See,NOT RATED,17-Oct-85,142 min,"Drama, War",Elem Klimov,"Ales Adamovich (story), Ales Adamovich (screenplay), Elem Klimov (screenplay)","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Belarusian, Russian, German",Soviet Union,2 wins.,8.3/10,N/A,8.3,"30,443",tt0091251,N/A,Kino International,N/A
180,Mary and Max,NOT RATED,9-Apr-09,92 min,"Animation, Comedy, Drama",Adam Elliot,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","English, Yiddish",Australia,4 wins & 9 nominations.,8.2/10,N/A,8.2,"129,873",tt0978762,N/A,IFC Films,http://www.maryandmax.com/
181,Gone Girl,R,3-Oct-14,149 min,"Crime, Drama, Mystery",David Fincher,"Gillian Flynn (screenplay), Gillian Flynn (novel)","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",English,USA,Nominated for 1 Oscar. Another 64 wins & 176 nominations.,8.1/10,79,8.1,"640,332",tt2267998,N/A,20th Century Fox,http://www.findamazingamy.com/
182,Into the Wild,R,19-Oct-07,148 min,"Adventure, Biography, Drama",Sean Penn,"Sean Penn (screenplay), Jon Krakauer (book)","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","English, Danish",USA,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,8.1/10,73,8.1,"461,312",tt0758758,"$18,173,360 ",Paramount Vantage,http://www.intothewild.com/
183,It Happened One Night,UNRATED,22-Feb-34,105 min,"Comedy, Romance",Frank Capra,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,English,USA,Won 5 Oscars. Another 5 wins & 1 nomination.,8.2/10,N/A,8.2,"70,807",tt0025316,N/A,Sony Pictures Home Entertainment,N/A
184,Shutter Island,R,19-Feb-10,138 min,"Mystery, Thriller",Martin Scorsese,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.","English, German",USA,8 wins & 62 nominations.,8.1/10,63,8.1,"862,078",tt1130884,"$125,001,000 ",Paramount Studios,http://www.shutterisland.com/
185,Life of Brian,R,17-Aug-79,94 min,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin","Graham Chapman, John Cleese, Terry Gilliam, Eric Idle","Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.","English, Latin",UK,N/A,8.1/10,75,8.1,"291,865",tt0079470,N/A,Warner Bros. Pictures,http://www.pythonline.com
186,Platoon,R,6-Feb-87,120 min,"Drama, War",Oliver Stone,Oliver Stone,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"English, Vietnamese","UK, USA",Won 4 Oscars. Another 19 wins & 14 nominations.,8.1/10,92,8.1,"311,879",tt0091763,N/A,Orion Pictures,N/A
187,Wild Tales,R,21-Aug-14,122 min,"Comedy, Drama, Thriller",Damián Szifron,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese",Six short stories that explore the extremities of human behavior involving people in distress.,Spanish,"Argentina, Spain",Nominated for 1 Oscar. Another 44 wins & 53 nominations.,8.1/10,77,8.1,"112,743",tt3011894,N/A,Sony Pictures Classics,http://sonyclassics.com/wildtales/
188,Hotel Rwanda,PG-13,4-Feb-05,121 min,"Biography, Drama, History",Terry George,"Keir Pearson, Terry George","Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,"English, French","UK, South Africa, Italy",Nominated for 3 Oscars. Another 16 wins & 45 nominations.,8.1/10,79,8.1,"282,079",tt0395169,"$23,472,900 ",MGM,http://www.hotelrwanda.com/
189,Rush,R,27-Sep-13,123 min,"Action, Biography, Drama",Ron Howard,Peter Morgan,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"English, German, Italian, French, Spanish","UK, Germany, USA",Nominated for 2 Golden Globes. Another 6 wins & 62 nominations.,8.1/10,75,8.1,"341,336",tt1979320,"$22,442,876 ",Universal Pictures,http://www.rushmovie.com/
190,The Wages of Fear,NOT RATED,16-Feb-55,131 min,"Adventure, Drama, Thriller",Henri-Georges Clouzot,"Georges Arnaud (novel), Henri-Georges Clouzot (adaptation), Jérôme Géronimi (adaptation)","Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","French, English, Spanish, German, Italian, Russian","France, Italy",Won 1 BAFTA Film Award. Another 5 wins.,8.2/10,N/A,8.2,"38,646",tt0046268,N/A,Janus Films,N/A
191,Network,R,27-Nov-76,121 min,Drama,Sidney Lumet,Paddy Chayefsky,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,English,USA,Won 4 Oscars. Another 15 wins & 25 nominations.,8.1/10,88,8.1,"111,892",tt0074958,N/A,MGM/United Artists,N/A
192,In the Name of the Father,R,25-Feb-94,133 min,"Biography, Drama",Jim Sheridan,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)","Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,English,"Ireland, UK, USA",Nominated for 7 Oscars. Another 7 wins & 21 nominations.,8.1/10,84,8.1,"119,905",tt0107207,N/A,Universal Pictures,N/A
193,Stand by Me,R,22-Aug-86,89 min,"Adventure, Drama",Rob Reiner,"Stephen King (novel), Raynold Gideon (screenplay), Bruce A. Evans (screenplay)","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",English,USA,Nominated for 1 Oscar. Another 4 wins & 11 nominations.,8.1/10,75,8.1,"292,157",tt0092005,N/A,MCA Universal Home Video,N/A
194,The 400 Blows,NOT RATED,16-Nov-59,99 min,"Crime, Drama",François Truffaut,"François Truffaut (scenario), Marcel Moussy (adaptation), François Truffaut (adaptation), Marcel Moussy (dialogue)","Jean-Pierre Léaud, Claire Maurier, Albert Rémy, Guy Decomble","Moving story of a young boy who, left without attention, delves into a life of petty crime.","French, English",France,Nominated for 1 Oscar. Another 7 wins & 3 nominations.,8.1/10,N/A,8.1,"76,599",tt0053198,N/A,Zenith International Films,N/A
195,Ben-Hur,G,29-Jan-60,212 min,"Adventure, Drama, History",William Wyler,"Lew Wallace (novel), Karl Tunberg (screenplay)","Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",English,USA,Won 11 Oscars. Another 16 wins & 13 nominations.,8.1/10,90,8.1,"175,529",tt0052618,N/A,MGM,N/A
196,The Grand Budapest Hotel,R,28-Mar-14,99 min,"Adventure, Comedy, Drama",Wes Anderson,"Stefan Zweig (inspired by the writings of), Wes Anderson (screenplay), Wes Anderson (story), Hugo Guinness (story)","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","English, French","USA, Germany",Won 4 Oscars. Another 127 wins & 217 nominations.,8.1/10,88,8.1,"537,323",tt2278388,"$56,939,515 ",Fox Searchlight,http://www.grandbudapesthotel.com/
197,Spotlight,R,20-Nov-15,128 min,"Crime, Drama, History",Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",English,"USA, Canada",Won 2 Oscars. Another 115 wins & 134 nominations.,8.1/10,93,8.1,"274,216",tt1895587,N/A,Open Road Films,http://SpotlightTheFilm.com
198,Mad Max: Fury Road,R,15-May-15,120 min,"Action, Adventure, Sci-Fi",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.","English, Russian","Australia, USA",Won 6 Oscars. Another 231 wins & 208 nominations.,8.1/10,90,8.1,"638,510",tt1392190,"$129,483,877 ",Warner Bros.,http://www.madmaxmovie.com/
199,12 Years a Slave,R,8-Nov-13,134 min,"Biography, Drama, History",Steve McQueen,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",English,"USA, UK",Won 3 Oscars. Another 235 wins & 326 nominations.,8.1/10,96,8.1,"490,387",tt2024544,"$50,628,650 ",Fox Searchlight,http://www.foxsearchlight.com/12yearsaslave/
200,Persona,NOT RATED,16-Mar-67,83 min,"Drama, Thriller",Ingmar Bergman,Ingmar Bergman (story and screenplay),"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand",A nurse is put in charge of a mute actress and finds that their personas are melding together.,"Swedish, English",Sweden,Nominated for 1 BAFTA Film Award. Another 6 wins & 3 nominations.,8.1/10,N/A,8.1,"68,948",tt0060827,N/A,Criterion Collection,N/A
201,Million Dollar Baby,PG-13,28-Jan-05,132 min,"Drama, Sport",Clint Eastwood,"Paul Haggis (screenplay), F.X. Toole (stories)","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",A determined woman works with a hardened boxing trainer to become a professional.,"English, Irish",USA,Won 4 Oscars. Another 63 wins & 83 nominations.,8.1/10,86,8.1,"519,405",tt0405159,"$100,422,786 ",Warner Bros. Pictures,http://milliondollarbabymovie.warnerbros.com/
202,Butch Cassidy and the Sundance Kid,PG,24-Oct-69,110 min,"Biography, Crime, Drama",George Roy Hill,William Goldman,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin",Two Western bank/train robbers flee to Bolivia when the law gets too close.,"English, Spanish",USA,Won 4 Oscars. Another 16 wins & 14 nominations.,8.1/10,58,8.1,"163,664",tt0064115,N/A,20th Century Fox,N/A
203,Jurassic Park,PG-13,11-Jun-93,127 min,"Adventure, Sci-Fi, Thriller",Steven Spielberg,"Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.","English, Spanish",USA,Won 3 Oscars. Another 28 wins & 17 nominations.,8.1/10,68,8.1,"670,652",tt0107290,"$45,299,680 ",Universal City Studios,http://www.jurassicpark.com/maingate_flash.html
204,Memories of Murder,UNRATED,2-May-03,132 min,"Crime, Drama, Mystery",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim (play), Sung-bo Shim","Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Korean, English",South Korea,26 wins & 3 nominations.,8.1/10,82,8.1,"76,875",tt0353969,N/A,Houston Lady Productions,N/A
205,Amores Perros,R,13-Apr-01,154 min,"Drama, Thriller",Alejandro González Iñárritu,Guillermo Arriaga,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Spanish,Mexico,Nominated for 1 Oscar. Another 54 wins & 22 nominations.,8.1/10,83,8.1,"184,555",tt0245712,"$4,856,342 ",Lions Gate Films,http://multimedia.elfoco.com/elfoco/amoresperros/index.html
206,The Maltese Falcon,APPROVED,18-Oct-41,100 min,"Film-Noir, Mystery",John Huston,"John Huston (screenplay), Dashiell Hammett (based upon the novel by)","Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",English,USA,Nominated for 3 Oscars. Another 4 wins.,8.1/10,N/A,8.1,"122,177",tt0033870,N/A,Warner Bros.,N/A
207,Munna Bhai M.B.B.S.,NOT RATED,19-Dec-03,156 min,"Comedy, Drama, Romance",Rajkumar Hirani,"Vidhu Vinod Chopra (screenplay), Rajkumar Hirani (screenplay), Rajkumar Hirani, Lajan Joseph (screenplay), Abbas Tyrewala (dialogue)","Sunil Dutt, Sanjay Dutt, Arshad Warsi, Gracy Singh",A gangster sets out to fulfill his father's dream of becoming a doctor.,Hindi,India,17 wins & 29 nominations.,8.2/10,N/A,8.2,"52,091",tt0374887,N/A,N/A,N/A
208,Stalker,NOT RATED,17-Apr-80,163 min,"Drama, Sci-Fi",Andrei Tarkovsky,"Arkadiy Strugatskiy (novel), Boris Strugatskiy (novel), Arkadiy Strugatskiy (screenplay), Boris Strugatskiy (screenplay)","Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",A guide leads two men through an area known as the Zone to find a room that grants wishes.,Russian,Soviet Union,2 wins & 1 nomination.,8.1/10,N/A,8.1,"76,654",tt0079944,"$164,141 ",Zweites Deutsches Fernsehen,N/A
209,The Truman Show,PG,5-Jun-98,103 min,"Comedy, Drama, Sci-Fi",Peter Weir,Andrew Niccol,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone",An insurance salesman/adjuster discovers his entire life is actually a television show.,English,USA,Nominated for 3 Oscars. Another 38 wins & 66 nominations.,8.1/10,90,8.1,"724,665",tt0120382,N/A,Paramount Pictures,N/A
210,The Nights of Cabiria,NOT RATED,16-Oct-57,110 min,Drama,Federico Fellini,"Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Pier Paolo Pasolini (collaboration)","Giulietta Masina, François Périer, Franca Marzi, Dorian Gray",A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Italian,"Italy, France",Won 1 Oscar. Another 15 wins & 6 nominations.,8.2/10,N/A,8.2,"29,367",tt0050783,N/A,Lopert Pictures Corporation,N/A
211,The Princess Bride,PG,9-Oct-87,98 min,"Adventure, Family, Fantasy",Rob Reiner,"William Goldman (book), William Goldman (screenplay)","Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest","While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.",English,USA,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,8.1/10,77,8.1,"314,262",tt0093779,N/A,20th Century Fox,http://www.theprincessbride-themovie.com/
212,Hachi: A Dog's Tale,G,12-Mar-10,93 min,"Drama, Family",Lasse Hallström,"Stephen P. Lindsey (screenplay), Kaneto Shindô (motion picture ""Hachiko monogatari"")","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",A college professor's bond with the abandoned dog he takes into his home.,"English, Japanese","UK, USA",1 nomination.,8.1/10,N/A,8.1,"179,414",tt1028532,N/A,Inferno Entertainment,http://www.hachithemovie.com/
213,Nausicaä of the Valley of the Wind,PG,11-Mar-84,117 min,"Animation, Adventure, Fantasy",Hayao Miyazaki,"Hayao Miyazaki (comic), Hayao Miyazaki (screenplay), Cindy Davis Hewitt (english version), Donald H. Hewitt (english version)","Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Japanese, English","Japan, USA",3 wins & 1 nomination.,8.1/10,N/A,8.1,"106,455",tt0087544,N/A,Starmaker Entertainment,N/A
