,City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max. Temp,Wind Speed
315,bembereke,0,BJ,1544347395.798611,39,10.23,2.66,79.88,7.78
316,yenagoa,20,NG,1544347395.910323,83,4.92,6.26,84.69,4.5
317,mbaiki,56,CF,1544347396.025748,75,3.87,17.99,82.53,3.09
318,cotonou,20,BJ,1544347396.134507,94,6.37,2.43,77.0,6.93
319,kaele,0,CM,1544347396.3509738,27,10.11,14.45,78.8,5.82
320,moissala,32,TD,1544347396.4656699,34,8.34,17.77,85.91,4.83
321,sarh,0,TD,1544347396.591557,23,9.14,18.39,84.2,11.41
322,banyo,36,CM,1544347396.704399,31,6.75,11.81,81.32,4.83
323,tignere,8,CM,1544347396.818069,31,7.37,12.65,78.48,6.33
324,yenagoa,20,NG,1544347396.9293141,83,4.92,6.26,84.69,4.5
325,yokadouma,0,CM,1544347397.0455942,76,3.52,15.05,79.83,3.2
326,sarh,0,TD,1544347397.1598668,23,9.14,18.39,84.2,11.41
327,warri,0,NG,1544347397.27119,88,5.52,5.75,85.55,4.61
329,tibati,0,CM,1544347397.509002,30,6.47,12.63,83.16,9.31
330,kontagora,0,NG,1544347397.72463,37,10.4,5.47,84.2,10.13
331,bosobolo,24,CD,1544347397.882858,88,4.19,19.88,81.63,6.62
332,anloga,20,GH,1544347397.999969,94,5.79,0.9,78.8,10.29
335,tchaourou,0,BJ,1544347398.45095,42,8.89,2.6,82.98,4.05
336,port-gentil,20,GA,1544347398.573524,74,-0.72,8.78,86.0,4.7
337,mbaiki,56,CF,1544347398.685913,75,3.87,17.99,82.53,3.09
338,cotonou,20,BJ,1544347398.7963352,94,6.37,2.43,77.0,6.93
339,tibati,0,CM,1544347398.910562,30,6.47,12.63,83.16,9.31
341,kontagora,0,NG,1544347399.13499,37,10.4,5.47,84.2,10.13
342,cocobeach,20,GA,1544347399.24894,78,1.01,9.58,82.4,3.36
343,bossangoa,0,CF,1544347399.3682292,34,6.5,17.45,85.91,10.09
344,atakpame,0,TG,1544347399.591765,46,7.53,1.13,84.65,3.6
345,tibati,0,CM,1544347399.712228,30,6.47,12.63,83.16,9.31
346,abonnema,75,NG,1544347399.827483,88,4.71,6.79,78.8,4.5
347,boda,0,BD,1544347399.943845,35,26.2,88.56,81.14,4.27
348,banyo,36,CM,1544347400.0583758,31,6.75,11.81,81.32,4.83
349,owando,88,CG,1544347400.1814568,95,-0.49,15.91,73.71,3.04
350,anloga,20,GH,1544347400.2965279,94,5.79,0.9,78.8,10.29
351,kumbo,44,CM,1544347400.410965,48,6.21,10.69,78.26,3.49
353,makokou,76,GA,1544347400.640896,93,0.56,12.85,75.29,2.86
354,savalou,0,BJ,1544347400.761248,62,7.93,1.98,83.61,3.38
355,yenagoa,20,NG,1544347400.88225,83,4.92,6.26,84.69,4.5
356,luba,0,PH,1544347400.996842,58,17.32,120.7,82.67,5.32
357,batouri,8,CM,1544347401.112054,96,4.44,14.36,78.35,5.32
358,anloga,20,GH,1544347401.227267,94,5.79,0.9,78.8,10.29
359,luba,0,PH,1544347401.33672,58,17.32,120.7,82.67,5.32
360,bohicon,0,BJ,1544347401.5616791,61,7.18,2.07,86.45,4.99
361,mbandaka,64,CD,1544347401.6742332,96,0.05,18.26,75.51,2.75
362,epe,75,DE,1544347401.791061,87,52.18,7.04,44.6,16.11
364,savalou,0,BJ,1544347402.017865,62,7.93,1.98,83.61,3.38
365,calabar,75,NG,1544347402.135901,88,4.98,8.34,78.8,3.6
366,cotonou,20,BJ,1544347402.2485309,94,6.37,2.43,77.0,6.93
367,anloga,20,GH,1544347402.3639522,94,5.79,0.9,78.8,10.29
368,winneba,0,GH,1544347402.607469,83,5.35,-0.62,82.4,8.05
369,akure,0,NG,1544347402.739733,70,7.25,5.19,84.33,4.27
371,epe,75,DE,1544347402.969567,87,52.18,7.04,44.6,16.11
372,mbaiki,56,CF,1544347403.0862432,75,3.87,17.99,82.53,3.09
373,kagoro,0,NG,1544347403.199127,44,9.6,8.38,78.21,8.34
374,port-gentil,20,GA,1544347403.3139892,74,-0.72,8.78,86.0,4.7
375,cotonou,20,BJ,1544347403.430492,94,6.37,2.43,77.0,6.93
376,calabar,75,NG,1544347403.543787,88,4.98,8.34,78.8,3.6
377,mumford,0,GH,1544347403.665112,89,5.26,-0.76,84.51,4.21
378,cotonou,20,BJ,1544347403.779711,94,6.37,2.43,77.0,6.93
379,lagdo,0,CM,1544347403.989598,28,9.06,13.67,80.6,2.24
380,luba,0,PH,1544347404.114662,58,17.32,120.7,82.67,5.32
